# CDFTB-CI Extracted Data with Energy Fluctuations
# Frame  Time(fs)   J_lowdin(meV)      dE1(Ha)           dE2(Ha)
# dE1 = E1(CDFTB-CI) - E(QM/MM)
# dE2 = E2(CDFTB-CI) - E(QM/MM)
 11307   45228.00        73.7884       0.2301945117       0.2360360267
 11308   45232.00       -76.6809       0.2285320050       0.2353231621
 11309   45236.00        68.5962       0.2278077279       0.2353754731
 11310   45240.00       -75.4177       0.2290074824       0.2370971805
 11311   45244.00        73.7647       0.2319500721       0.2386921087
 11312   45248.00       -70.2920       0.2342496839       0.2411464549
 11313   45252.00        70.6595       0.2318202380       0.2420819825
 11314   45256.00       -61.8260       0.2271269317       0.2395469290
 11315   45260.00       -59.8445       0.2256652544       0.2376652731
 11316   45264.00       -65.0771       0.2271933365       0.2362152521
 11317   45268.00        63.0318       0.2296892255       0.2345071045
 11318   45272.00       -72.7805       0.2300140690       0.2353866165
 11319   45276.00       -64.7887       0.2302736163       0.2364074275
 11320   45280.00       -55.6634       0.2292531344       0.2387315893
 11321   45284.00       -58.4923       0.2296725806       0.2403722959
 11322   45288.00       -58.7859       0.2315583731       0.2393963782
 11323   45292.00       -61.8427       0.2320322322       0.2379938851
 11324   45296.00        63.2714       0.2295382347       0.2366551679
 11325   45300.00        53.1269       0.2272695906       0.2369639821
 11326   45304.00        51.7501       0.2273983356       0.2396739444
 11327   45308.00       -53.4024       0.2296073952       0.2403600548
 11328   45312.00        49.8199       0.2320357787       0.2387194892
 11329   45316.00        53.1572       0.2315465257       0.2371805665
 11330   45320.00       -50.1369       0.2296434658       0.2364525622
 11331   45324.00        46.9715       0.2281819937       0.2379845140
 11332   45328.00        48.5435       0.2284198193       0.2397750450
 11333   45332.00       -50.2237       0.2293635196       0.2389595024
 11334   45336.00       -54.2662       0.2294253752       0.2370856998
 11335   45340.00       -58.8447       0.2270080832       0.2355957284
 11336   45344.00       -53.5197       0.2252486594       0.2360596607
 11337   45348.00       -50.1650       0.2251470248       0.2373795889
 11338   45352.00        50.8844       0.2271991391       0.2369493045
 11339   45356.00        51.8223       0.2297271536       0.2358871691
 11340   45360.00       -49.9723       0.2305282455       0.2358129566
 11341   45364.00       -50.8724       0.2301953781       0.2382495919
 11342   45368.00       -54.9118       0.2293555812       0.2431151212
 11343   45372.00        54.0331       0.2276018947       0.2432757507
 11344   45376.00       -60.2069       0.2270264274       0.2382090610
 11345   45380.00        63.1726       0.2280764197       0.2350872373
 11346   45384.00        62.6628       0.2290660378       0.2358251418
 11347   45388.00       -51.3643       0.2298831084       0.2388631766
 11348   45392.00        55.8588       0.2298318995       0.2414490646
 11349   45396.00       -56.3803       0.2287123899       0.2391318616
 11350   45400.00       -59.3120       0.2277946306       0.2345451686
 11351   45404.00       -62.0928       0.2277056776       0.2331149245
 11352   45408.00       -57.6156       0.2289051709       0.2357177076
 11353   45412.00       -60.2953       0.2294189696       0.2406602585
 11354   45416.00        62.3126       0.2290309349       0.2419147222
 11355   45420.00        57.5791       0.2291874094       0.2397476554
 11356   45424.00        61.0503       0.2295240432       0.2372163580
 11357   45428.00       -57.0221       0.2298044594       0.2358858925
 11358   45432.00       -47.5545       0.2304635521       0.2373043902
 11359   45436.00       -56.8229       0.2292157595       0.2386177231
 11360   45440.00        57.5836       0.2283919005       0.2376681856
 11361   45444.00        58.6987       0.2298272123       0.2380406703
 11362   45448.00       -61.3038       0.2315634290       0.2392329421
 11363   45452.00       -59.0575       0.2315753073       0.2400633016
 11364   45456.00        62.9051       0.2290762711       0.2394491685
 11365   45460.00       -65.6428       0.2261573652       0.2364655823
 11366   45464.00       -64.1744       0.2269017257       0.2352157783
 11367   45468.00       -64.8145       0.2298237067       0.2362968041
 11368   45472.00        58.3488       0.2319985788       0.2384108076
 11369   45476.00        52.0669       0.2309975654       0.2402605247
 11370   45480.00        55.9600       0.2269462063       0.2381086608
 11371   45484.00       -61.4735       0.2243803505       0.2343446684
 11372   45488.00       -57.6998       0.2266277332       0.2343347634
 11373   45492.00        56.4847       0.2303633555       0.2364718556
 11374   45496.00       -46.3105       0.2324190413       0.2389346187
 11375   45500.00       -50.3971       0.2302816885       0.2420385538
 11376   45504.00        46.9532       0.2267023180       0.2415026538
 11377   45508.00       -43.8236       0.2273890921       0.2394190733
 11378   45512.00       -42.7717       0.2303177603       0.2381466237
 11379   45516.00       -47.9880       0.2311931767       0.2361974218
 11380   45520.00        50.0694       0.2302506169       0.2350058299
 11381   45524.00        46.3546       0.2280602544       0.2353691378
 11382   45528.00        43.9287       0.2271662947       0.2370870864
 11383   45532.00        43.9484       0.2293102835       0.2397998871
 11384   45536.00       -35.6631       0.2311183856       0.2405066008
 11385   45540.00       -32.3165       0.2296876646       0.2394086890
 11386   45544.00       -35.9400       0.2266200230       0.2381011632
 11387   45548.00        31.1804       0.2250132418       0.2377424449
 11388   45552.00       -27.8686       0.2266885339       0.2392086327
 11389   45556.00        25.4615       0.2292579250       0.2393298924
 11390   45560.00        18.8259       0.2299992852       0.2379334375
 11391   45564.00        24.9505       0.2286845333       0.2364644856
 11392   45568.00       -23.7187       0.2272349641       0.2361843519
 11393   45572.00        29.7548       0.2271644153       0.2375642404
 11394   45576.00        35.2623       0.2288167903       0.2383136977
 11395   45580.00        24.7080       0.2295749087       0.2376445193
 11396   45584.00       -25.9215       0.2287243519       0.2373497604
 11397   45588.00       -24.9899       0.2263455253       0.2377222530
 11398   45592.00        17.8893       0.2242645058       0.2379278030
 11399   45596.00       -27.9662       0.2240331680       0.2357311654
 11400   45600.00       -26.5820       0.2248509397       0.2312576750
 11401   45604.00        29.8069       0.2263326950       0.2287642725
 11402   45608.00       -33.2247       0.2273976393       0.2301566026
 11403   45612.00       -31.8397       0.2273185311       0.2339272528
 11404   45616.00       -31.6839       0.2269803411       0.2392735339
 11405   45620.00        30.1036       0.2261874968       0.2402554083
 11406   45624.00       -22.8893       0.2266436895       0.2364874012
 11407   45628.00        20.7970       0.2279561297       0.2348750845
 11408   45632.00       -21.2984       0.2278356646       0.2350173881
 11409   45636.00       -26.7963       0.2270949954       0.2350544531
 11410   45640.00        35.3283       0.2266145770       0.2353094713
 11411   45644.00       -35.3425       0.2266855124       0.2337214749
 11412   45648.00        40.5633       0.2279621023       0.2319190395
 11413   45652.00       -46.2110       0.2288224044       0.2324564697
 11414   45656.00        42.2614       0.2286024405       0.2333117928
 11415   45660.00        33.7099       0.2282471131       0.2354888459
 11416   45664.00        29.9678       0.2288432996       0.2366852137
 11417   45668.00        33.5611       0.2296991501       0.2365682463
 11418   45672.00        44.8350       0.2307250095       0.2363553896
 11419   45676.00        50.9014       0.2300181778       0.2356447511
 11420   45680.00        44.2528       0.2283898345       0.2348022006
 11421   45684.00        47.6542       0.2279888178       0.2345322792
 11422   45688.00       -50.9105       0.2293729488       0.2351923257
 11423   45692.00        56.2220       0.2319229407       0.2373629927
 11424   45696.00       -56.9418       0.2338881487       0.2394241241
 11425   45700.00        54.2248       0.2338548863       0.2405298772
 11426   45704.00        57.1091       0.2327379716       0.2405872497
 11427   45708.00       -58.2666       0.2313925663       0.2388933835
 11428   45712.00       -56.8127       0.2307828153       0.2365785008
 11429   45716.00       -59.8213       0.2305856255       0.2355498373
 11430   45720.00        60.4453       0.2301796384       0.2357793961
 11431   45724.00        63.5448       0.2290130051       0.2375078395
 11432   45728.00       -68.7070       0.2275534625       0.2381143295
 11433   45732.00       -72.9871       0.2269335265       0.2381416629
 11434   45736.00        79.9759       0.2279906288       0.2388423740
 11435   45740.00       -86.3174       0.2299136286       0.2392397491
 11436   45744.00        77.3813       0.2312764701       0.2401994093
 11437   45748.00       -73.9860       0.2308248343       0.2420205775
 11438   45752.00       -72.3237       0.2287662560       0.2414491993
 11439   45756.00       -73.0595       0.2270259345       0.2391684621
 11440   45760.00        70.6067       0.2263537722       0.2373533888
 11441   45764.00       -70.4523       0.2255551953       0.2359144539
 11442   45768.00       -67.7498       0.2249059088       0.2355511135
 11443   45772.00       -71.1236       0.2245787007       0.2360024345
 11444   45776.00       -67.4182       0.2246466780       0.2357530259
 11445   45780.00       -65.8204       0.2258312392       0.2349452064
 11446   45784.00       -64.5520       0.2264583095       0.2352115996
 11447   45788.00        57.9744       0.2258133996       0.2366377262
 11448   45792.00        54.9894       0.2251628170       0.2375448033
 11449   45796.00        58.2545       0.2232677164       0.2362394851
 11450   45800.00       -51.5867       0.2224764001       0.2333003998
 11451   45804.00        58.1700       0.2223414561       0.2316307335
 11452   45808.00       -58.5530       0.2222540557       0.2330152654
 11453   45812.00       -61.0726       0.2235029961       0.2373931321
 11454   45816.00        66.0545       0.2249214721       0.2409962782
 11455   45820.00       -65.1851       0.2262945592       0.2406382394
 11456   45824.00        64.6528       0.2266494490       0.2378023056
 11457   45828.00       -69.3037       0.2252648835       0.2349138226
 11458   45832.00        71.5883       0.2250251747       0.2343829082
 11459   45836.00       -70.0607       0.2250714649       0.2358035724
 11460   45840.00       -69.7934       0.2243363691       0.2377050769
 11461   45844.00       -72.7540       0.2225020285       0.2364959465
 11462   45848.00       -77.8238       0.2211329096       0.2331214110
 11463   45852.00       -79.1315       0.2214858692       0.2321138812
 11464   45856.00        78.7915       0.2236253951       0.2343534651
 11465   45860.00        76.6958       0.2257917844       0.2377371606
 11466   45864.00       -74.3739       0.2267799794       0.2399536283
 11467   45868.00       -75.3285       0.2269949948       0.2396449315
 11468   45872.00        84.0933       0.2273055443       0.2380968655
 11469   45876.00        87.6192       0.2277119482       0.2381491562
 11470   45880.00        89.6863       0.2282114895       0.2409045536
 11471   45884.00        92.3879       0.2262491464       0.2416721457
 11472   45888.00        92.2799       0.2231142571       0.2383806074
 11473   45892.00       -95.1018       0.2216507201       0.2349883140
 11474   45896.00       -92.9528       0.2231284191       0.2342050686
 11475   45900.00       -86.7197       0.2266581170       0.2372805309
 11476   45904.00        86.5332       0.2280977076       0.2415104328
 11477   45908.00       -90.3323       0.2270895565       0.2411594841
 11478   45912.00       -91.6312       0.2251466934       0.2369118505
 11479   45916.00        96.6805       0.2237122944       0.2334798563
 11480   45920.00       -93.6555       0.2245445476       0.2338887934
 11481   45924.00       -86.2147       0.2256973596       0.2383960091
 11482   45928.00        83.6762       0.2255131399       0.2423583736
 11483   45932.00        76.9802       0.2243726414       0.2411629675
 11484   45936.00       -79.6435       0.2241311787       0.2373956099
 11485   45940.00       -75.8304       0.2260728711       0.2354445269
 11486   45944.00       -76.4683       0.2286223689       0.2377149024
 11487   45948.00       -79.3320       0.2300461128       0.2411175237
 11488   45952.00        76.2882       0.2292952599       0.2419716380
 11489   45956.00       -77.4262       0.2281493867       0.2409633616
 11490   45960.00        80.0185       0.2271038454       0.2385398610
 11491   45964.00        74.4934       0.2261579201       0.2362858940
 11492   45968.00       -72.5376       0.2261303428       0.2371002346
 11493   45972.00        67.7737       0.2262203235       0.2381170441
 11494   45976.00       -59.4929       0.2267197631       0.2378122468
 11495   45980.00        60.9525       0.2272842117       0.2373889019
 11496   45984.00       -61.5619       0.2278607446       0.2371330898
 11497   45988.00        66.7429       0.2286437659       0.2375168003
 11498   45992.00        71.9053       0.2282215303       0.2383916385
 11499   45996.00       -64.8288       0.2277576438       0.2393044360
 11500   46000.00        60.2390       0.2276468133       0.2399930024
 11501   46004.00        60.8179       0.2280694002       0.2391636942
 11502   46008.00       -60.9134       0.2290017165       0.2386179131
 11503   46012.00       -64.9884       0.2296195247       0.2399540776
 11504   46016.00        65.0324       0.2290244636       0.2408529206
 11505   46020.00        56.2937       0.2280587402       0.2407365450
 11506   46024.00       -63.0811       0.2272082835       0.2389750303
 11507   46028.00        67.4490       0.2272657784       0.2354873595
 11508   46032.00        68.6328       0.2282702495       0.2345022448
 11509   46036.00       -70.4966       0.2288761943       0.2360007143
 11510   46040.00        60.5959       0.2280467660       0.2392330583
 11511   46044.00        60.2614       0.2268885869       0.2421292045
 11512   46048.00       -61.4861       0.2261982110       0.2403645143
 11513   46052.00       -66.3161       0.2268337654       0.2375048351
 11514   46056.00       -68.1339       0.2293485124       0.2373635984
 11515   46060.00       -67.8047       0.2305185512       0.2390447796
 11516   46064.00        65.3419       0.2314412730       0.2416426555
 11517   46068.00       -71.1732       0.2312114099       0.2408448490
 11518   46072.00        76.0501       0.2301083734       0.2377643800
 11519   46076.00       -76.2150       0.2298885725       0.2371893695
 11520   46080.00       -79.8286       0.2295904991       0.2387423387
 11521   46084.00       -76.4469       0.2285090039       0.2411019751
 11522   46088.00       -76.5202       0.2273457610       0.2419489225
 11523   46092.00       -82.9222       0.2273059227       0.2388272478
 11524   46096.00       -83.8335       0.2284742043       0.2359541741
 11525   46100.00       -91.0266       0.2298152078       0.2371408859
 11526   46104.00        89.2889       0.2314860089       0.2398777952
 11527   46108.00        88.3130       0.2315420688       0.2424547450
 11528   46112.00        94.4153       0.2305057118       0.2423990433
 11529   46116.00      -101.7055       0.2301304446       0.2408360615
 11530   46120.00       103.5024       0.2305126715       0.2404398388
 11531   46124.00       106.8662       0.2311948683       0.2420375573
 11532   46128.00       103.3799       0.2312474365       0.2446495014
 11533   46132.00       -99.3609       0.2304389337       0.2450062916
 11534   46136.00       103.6114       0.2307672453       0.2432050250
 11535   46140.00       100.7437       0.2320051176       0.2414757291
 11536   46144.00       -99.9499       0.2326504868       0.2407536766
 11537   46148.00        99.0877       0.2319482080       0.2407302015
 11538   46152.00       -98.9548       0.2295852668       0.2412844073
 11539   46156.00       103.4405       0.2266400185       0.2397082640
 11540   46160.00       105.7538       0.2262281928       0.2376436652
 11541   46164.00      -109.0710       0.2275481322       0.2372693599
 11542   46168.00       108.9935       0.2286813259       0.2386966660
 11543   46172.00      -108.4401       0.2292082804       0.2420083322
 11544   46176.00      -115.3867       0.2284059908       0.2439836842
 11545   46180.00       114.1887       0.2281955456       0.2429186581
 11546   46184.00       111.7580       0.2289184552       0.2401182286
 11547   46188.00      -112.7779       0.2284137877       0.2374218347
 11548   46192.00       110.2299       0.2281520168       0.2373378910
 11549   46196.00      -108.2133       0.2279944854       0.2391758263
 11550   46200.00      -107.7611       0.2276268355       0.2403006974
 11551   46204.00       108.4811       0.2275519108       0.2397840667
 11552   46208.00      -115.6519       0.2273986344       0.2379498979
 11553   46212.00      -124.5009       0.2263399558       0.2358528975
 11554   46216.00       131.7645       0.2263708172       0.2364790553
 11555   46220.00       135.1914       0.2267594331       0.2384068118
 11556   46224.00      -129.3829       0.2262845676       0.2387940933
 11557   46228.00      -130.9133       0.2259862563       0.2379274737
 11558   46232.00       133.2093       0.2254118924       0.2361738135
 11559   46236.00       128.6307       0.2253351944       0.2356822761
 11560   46240.00      -122.4335       0.2257433976       0.2368461032
 11561   46244.00      -118.0889       0.2262729811       0.2385764195
 11562   46248.00      -118.7451       0.2277624473       0.2400805237
 11563   46252.00      -123.3807       0.2294288276       0.2396108802
 11564   46256.00      -122.4677       0.2297956950       0.2390564778
 11565   46260.00      -115.1448       0.2289768777       0.2387169555
 11566   46264.00      -108.3796       0.2267100133       0.2391077959
 11567   46268.00      -102.3418       0.2251487892       0.2386023016
 11568   46272.00        97.1458       0.2257649488       0.2356942575
 11569   46276.00      -100.6972       0.2265684037       0.2339824941
 11570   46280.00      -101.7233       0.2272298350       0.2349195506
 11571   46284.00       -93.1189       0.2285560072       0.2358126422
 11572   46288.00        91.1261       0.2279717119       0.2386123791
 11573   46292.00       -89.3311       0.2263692433       0.2391418900
 11574   46296.00        90.5531       0.2257001102       0.2365645823
 11575   46300.00        94.0133       0.2264250504       0.2347631464
 11576   46304.00        95.4549       0.2271989607       0.2350934163
 11577   46308.00       -91.9921       0.2284953511       0.2371191498
 11578   46312.00       -84.5610       0.2285706704       0.2381952683
 11579   46316.00       -82.9938       0.2273813838       0.2367334501
 11580   46320.00        85.1473       0.2269257271       0.2350201509
 11581   46324.00        77.7032       0.2272399472       0.2349699228
 11582   46328.00        65.3248       0.2275374672       0.2363073930
 11583   46332.00       -61.0801       0.2273018527       0.2372647068
 11584   46336.00       -58.4049       0.2263120452       0.2350627813
 11585   46340.00        65.6820       0.2249323093       0.2320095708
 11586   46344.00       -69.6196       0.2240132691       0.2308123084
 11587   46348.00        66.4752       0.2242589036       0.2325000358
 11588   46352.00        55.8520       0.2251809408       0.2359137915
 11589   46356.00       -48.4520       0.2260503053       0.2368139269
 11590   46360.00        45.0578       0.2268702638       0.2344919511
 11591   46364.00        48.0977       0.2268818174       0.2322749524
 11592   46368.00       -48.4057       0.2274127227       0.2327300544
 11593   46372.00        49.5573       0.2275082144       0.2356799849
 11594   46376.00        40.3724       0.2263801889       0.2381126098
 11595   46380.00       -42.2922       0.2254310682       0.2389137654
 11596   46384.00        44.3288       0.2262860318       0.2374226650
 11597   46388.00       -45.7056       0.2283202123       0.2355345463
 11598   46392.00       -50.4172       0.2298090740       0.2352152334
 11599   46396.00       -47.0614       0.2299245674       0.2353199334
 11600   46400.00       -41.8925       0.2271779314       0.2355071223
 11601   46404.00       -39.5693       0.2244628956       0.2345196183
 11602   46408.00       -37.9890       0.2237274957       0.2337704880
 11603   46412.00        35.5180       0.2251816628       0.2350282861
 11604   46416.00        34.2832       0.2279271951       0.2371597648
 11605   46420.00        28.5634       0.2288657538       0.2381569032
 11606   46424.00        38.3776       0.2277013467       0.2373260579
 11607   46428.00       -41.8010       0.2268302935       0.2347065483
 11608   46432.00       -45.9883       0.2263721948       0.2333595289
 11609   46436.00       -47.3721       0.2283544237       0.2349608920
 11610   46440.00       -49.0673       0.2308451814       0.2388524150
 11611   46444.00        46.6663       0.2311810218       0.2417634099
 11612   46448.00        46.4007       0.2304671814       0.2412101501
 11613   46452.00        49.0404       0.2283704324       0.2373083752
 11614   46456.00       -52.9723       0.2263792449       0.2335804922
 11615   46460.00       -56.6840       0.2259091486       0.2328152161
 11616   46464.00        51.7421       0.2259270298       0.2348413865
 11617   46468.00        52.5955       0.2254049895       0.2374228313
 11618   46472.00       -46.3278       0.2262512720       0.2378435519
 11619   46476.00       -47.1840       0.2268345923       0.2355364038
 11620   46480.00       -48.2933       0.2266443649       0.2328306849
 11621   46484.00        52.7506       0.2256990176       0.2324004721
 11622   46488.00       -51.0489       0.2240333590       0.2337678845
 11623   46492.00       -47.0739       0.2232051476       0.2358087929
 11624   46496.00       -50.3642       0.2243579664       0.2373579649
 11625   46500.00       -54.0337       0.2267897443       0.2375323816
 11626   46504.00        56.8386       0.2283798870       0.2374794632
 11627   46508.00       -59.0674       0.2273668945       0.2371475633
 11628   46512.00       -58.4766       0.2255128652       0.2364890993
 11629   46516.00       -58.9924       0.2246000917       0.2351726494
 11630   46520.00       -61.4035       0.2249730360       0.2328939686
 11631   46524.00       -65.2013       0.2269138882       0.2329749130
 11632   46528.00       -62.9063       0.2278668862       0.2350537692
 11633   46532.00        55.3546       0.2267354041       0.2375359584
 11634   46536.00       -49.3788       0.2250333795       0.2385548586
 11635   46540.00        53.3413       0.2237497645       0.2367046569
 11636   46544.00        56.0318       0.2237205106       0.2336479756
 11637   46548.00        54.7649       0.2239599604       0.2330114564
 11638   46552.00        52.7402       0.2243943094       0.2357471700
 11639   46556.00       -52.0273       0.2256637084       0.2400891330
 11640   46560.00        48.1262       0.2272207840       0.2423937849
 11641   46564.00       -46.8597       0.2282745248       0.2403262096
 11642   46568.00        55.3061       0.2284566349       0.2375797497
 11643   46572.00        54.5119       0.2273438983       0.2372010690
 11644   46576.00        46.7803       0.2260776330       0.2385720729
 11645   46580.00       -48.9691       0.2246122444       0.2402044523
 11646   46584.00       -50.3788       0.2232910645       0.2398512469
 11647   46588.00        48.8762       0.2233669660       0.2367874342
 11648   46592.00       -47.5469       0.2241133834       0.2341815683
 11649   46596.00       -44.3285       0.2246238320       0.2343140445
 11650   46600.00        39.5930       0.2254931231       0.2365132266
 11651   46604.00       -46.3241       0.2256491655       0.2378226841
 11652   46608.00       -45.0441       0.2260024658       0.2364934662
 11653   46612.00        45.5852       0.2259724991       0.2347965769
 11654   46616.00       -45.5445       0.2253755373       0.2352876360
 11655   46620.00        33.6146       0.2242750164       0.2374957312
 11656   46624.00        37.7530       0.2228602306       0.2398310134
 11657   46628.00       -32.0850       0.2233703391       0.2392988462
 11658   46632.00       -29.9993       0.2256169427       0.2366317426
 11659   46636.00       -33.5428       0.2270737853       0.2353601759
 11660   46640.00       -28.1593       0.2274604373       0.2370862329
 11661   46644.00        32.5793       0.2265963442       0.2396835679
 11662   46648.00       -36.6007       0.2261227620       0.2402661588
 11663   46652.00       -35.0796       0.2267860573       0.2375619961
 11664   46656.00       -45.2717       0.2265418783       0.2344868300
 11665   46660.00       -44.5637       0.2255062684       0.2331674748
 11666   46664.00        44.0532       0.2242551019       0.2337103391
 11667   46668.00       -44.3376       0.2240018045       0.2347930970
 11668   46672.00        48.2813       0.2248601602       0.2343609879
 11669   46676.00        52.8263       0.2257999045       0.2335124640
 11670   46680.00        53.0316       0.2265090753       0.2345856986
 11671   46684.00        52.9814       0.2266597651       0.2372900813
 11672   46688.00       -52.2851       0.2272385417       0.2404145766
 11673   46692.00       -51.9912       0.2293327033       0.2418985610
 11674   46696.00        55.8917       0.2315683484       0.2404025352
 11675   46700.00        62.0679       0.2313298224       0.2376370126
 11676   46704.00       -66.1441       0.2296566872       0.2364250265
 11677   46708.00       -68.5520       0.2278632758       0.2367993827
 11678   46712.00       -67.1217       0.2273508743       0.2388589523
 11679   46716.00        65.1236       0.2285866590       0.2402258972
 11680   46720.00       -68.8491       0.2291578079       0.2389637097
 11681   46724.00       -71.7940       0.2280044287       0.2358937889
 11682   46728.00        77.5798       0.2267449732       0.2335123047
 11683   46732.00        81.7409       0.2269942406       0.2340379651
 11684   46736.00       -82.4927       0.2285400376       0.2366798152
 11685   46740.00       -83.3073       0.2284961466       0.2380149381
 11686   46744.00        82.9211       0.2266054394       0.2375427893
 11687   46748.00       -87.4413       0.2249410405       0.2361626045
 11688   46752.00       -95.3036       0.2252006616       0.2357837403
 11689   46756.00       -99.8082       0.2273780267       0.2376117512
 11690   46760.00       -94.2221       0.2289618756       0.2391516266
 11691   46764.00       -87.8406       0.2271558654       0.2378081555
 11692   46768.00       -89.3592       0.2252255896       0.2359119246
 11693   46772.00       -91.2763       0.2255103662       0.2350255512
 11694   46776.00        88.0809       0.2267820439       0.2361502720
 11695   46780.00        83.5853       0.2276629485       0.2381436460
 11696   46784.00       -84.3213       0.2258948630       0.2371104341
 11697   46788.00       -85.5598       0.2238493647       0.2338219568
 11698   46792.00       -90.4768       0.2235887805       0.2319603027
 11699   46796.00        88.6419       0.2248620479       0.2325810777
 11700   46800.00        77.6340       0.2254568682       0.2349863791
 11701   46804.00       -72.6299       0.2236010407       0.2373725933
 11702   46808.00       -70.9572       0.2226989574       0.2372725922
 11703   46812.00        74.6284       0.2250608594       0.2359818653
 11704   46816.00       -80.5519       0.2280831968       0.2354870229
 11705   46820.00        73.2670       0.2293017369       0.2358049392
 11706   46824.00       -69.5924       0.2274355977       0.2366488224
 11707   46828.00       -67.3371       0.2238730169       0.2369740290
 11708   46832.00        66.0391       0.2229758177       0.2376420905
 11709   46836.00       -62.6461       0.2258836219       0.2393094984
 11710   46840.00        59.3656       0.2287622649       0.2397536631
 11711   46844.00       -59.1609       0.2291730728       0.2388158949
 11712   46848.00       -63.4433       0.2263542411       0.2370906114
 11713   46852.00        62.3346       0.2241637790       0.2365852143
 11714   46856.00       -60.6248       0.2257880780       0.2376425665
 11715   46860.00        54.3139       0.2275105745       0.2384820442
 11716   46864.00       -53.1805       0.2266707991       0.2377252705
 11717   46868.00        56.7324       0.2241944454       0.2362493644
 11718   46872.00        56.2990       0.2229311612       0.2353540201
 11719   46876.00       -55.8828       0.2257108817       0.2373370308
 11720   46880.00        58.5401       0.2287028425       0.2398680685
 11721   46884.00       -66.0538       0.2280007893       0.2401437292
 11722   46888.00       -70.3045       0.2252842799       0.2390834702
 11723   46892.00       -72.5447       0.2232508890       0.2376434946
 11724   46896.00        66.3913       0.2243364683       0.2370664444
 11725   46900.00       -66.2120       0.2286929858       0.2380657476
 11726   46904.00       -68.7782       0.2310124353       0.2384590005
 11727   46908.00       -69.5914       0.2286585949       0.2369587755
 11728   46912.00       -62.9902       0.2257642770       0.2353964229
 11729   46916.00        54.0799       0.2241360053       0.2350149017
 11730   46920.00        54.1969       0.2242325430       0.2358915215
 11731   46924.00       -62.7197       0.2249961162       0.2365830730
 11732   46928.00       -70.4505       0.2251137436       0.2364326729
 11733   46932.00        72.2800       0.2254220859       0.2356725878
 11734   46936.00       -72.0565       0.2267942476       0.2356001060
 11735   46940.00        70.5883       0.2287394307       0.2363774137
 11736   46944.00       -72.7335       0.2297187728       0.2376498932
 11737   46948.00       -69.7658       0.2284235043       0.2376874221
 11738   46952.00        65.2216       0.2274299625       0.2372812756
 11739   46956.00       -68.1498       0.2285667968       0.2370797788
 11740   46960.00       -68.4965       0.2300033163       0.2370159106
 11741   46964.00       -68.8243       0.2291771372       0.2372847507
 11742   46968.00       -69.0678       0.2266234781       0.2365766201
 11743   46972.00        69.1348       0.2253974497       0.2349634924
 11744   46976.00       -66.5022       0.2269052551       0.2340979283
 11745   46980.00       -66.1676       0.2294727034       0.2348233302
 11746   46984.00        64.4154       0.2302193947       0.2355420922
 11747   46988.00        62.9442       0.2281929175       0.2354973195
 11748   46992.00        57.0146       0.2257967301       0.2346084672
 11749   46996.00       -54.6438       0.2255415444       0.2339069267
 11750   47000.00        59.1276       0.2272377198       0.2343721365
 11751   47004.00       -63.5873       0.2283849691       0.2355549265
 11752   47008.00        66.0013       0.2278716538       0.2368026405
 11753   47012.00        63.2900       0.2266050341       0.2365607964
 11754   47016.00        62.6172       0.2272719664       0.2352153704
 11755   47020.00        61.7071       0.2298160059       0.2351117158
 11756   47024.00       -64.5148       0.2311510377       0.2365691307
 11757   47028.00       -62.4559       0.2312320562       0.2383463916
 11758   47032.00       -61.4701       0.2302024014       0.2391538747
 11759   47036.00        57.0085       0.2292361945       0.2374078509
 11760   47040.00       -58.0431       0.2287519320       0.2344884924
 11761   47044.00       -57.7700       0.2279591373       0.2328592063
 11762   47048.00        56.7847       0.2264692741       0.2331091163
 11763   47052.00        50.3845       0.2248451604       0.2342654844
 11764   47056.00        45.9335       0.2244803771       0.2340738716
 11765   47060.00        51.5495       0.2264529338       0.2334175742
 11766   47064.00        52.4811       0.2290191528       0.2339476432
 11767   47068.00       -51.7815       0.2308856431       0.2367934333
 11768   47072.00       -50.9316       0.2319090713       0.2404179612
 11769   47076.00       -50.2832       0.2318828151       0.2415715351
 11770   47080.00        53.0517       0.2307867084       0.2407268123
 11771   47084.00       -60.1050       0.2287879955       0.2385948789
 11772   47088.00        58.8464       0.2267438641       0.2366968089
 11773   47092.00        56.0359       0.2266494810       0.2372633058
 11774   47096.00        54.3851       0.2288479094       0.2387561136
 11775   47100.00        50.6034       0.2311018649       0.2394834472
 11776   47104.00        50.3197       0.2312789118       0.2387642640
 11777   47108.00        42.9701       0.2305117462       0.2375990547
 11778   47112.00       -38.2702       0.2302634007       0.2375986410
 11779   47116.00        40.7439       0.2310975748       0.2380924998
 11780   47120.00        46.5119       0.2316892622       0.2390536900
 11781   47124.00       -52.7916       0.2311616127       0.2397456745
 11782   47128.00       -49.5983       0.2285776817       0.2390665748
 11783   47132.00       -42.9257       0.2266515349       0.2386838763
 11784   47136.00       -41.5783       0.2277680449       0.2381319426
 11785   47140.00        44.4098       0.2311820712       0.2385574160
 11786   47144.00       -45.7264       0.2350339734       0.2410212474
 11787   47148.00        49.7993       0.2360058017       0.2434248227
 11788   47152.00       -48.1236       0.2350642415       0.2437862994
 11789   47156.00        49.6311       0.2338389431       0.2424322286
 11790   47160.00       -52.1571       0.2317823791       0.2405308396
 11791   47164.00        51.4748       0.2298416103       0.2392371880
 11792   47168.00        50.4730       0.2281888551       0.2391607369
